피처,중요도
home_team_factor,0.523983433313158
humidity,0.09964771822351064
temperature,0.08258643828587243
day_of_week,0.06879572909972193
is_derby,0.04444286132736392
recent_form_score,0.0414537364576501
rank_avg,0.039149192504707594
month,0.036376783993050936
is_evening,0.030863124629980473
is_weekend,0.012190652564920166
is_holiday_season,0.004202499144952158
is_opening_match,0.0030088104756028377
is_season_end,0.0029938195839955104
is_season_start,0.0027838838694651995
is_final_rounds,0.0023518773711741375
is_big_club_match,0.0019884162854395316
is_championship_race,0.0017090870790208543
is_top_match,0.0014719357904135724
